ColumnHeader,Measurement,Treatment,Block,Sensor,Units,Summary,SDIport,SDIaddress
TIMESTAMP,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt
RECORD,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt
BattV_Avg,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt
PTemp_C_Avg,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt
"CS650(1,1)",VolumetricWaterContent,TopSoil_0,1,1,mm3/mm3,Samp,1,0
"CS650(1,2)",ElectricalConductivity,TopSoil_0,1,1,dS/m,Samp,1,0
"CS650(1,3)",Temperature,TopSoil_0,1,1,oC,Samp,1,0
"CS650(1,4)",Permittivity,TopSoil_0,1,1,-,Samp,1,0
"CS650(1,5)",Period,TopSoil_0,1,1,uSec,Samp,1,0
"CS650(1,6)",VoltageRatio,TopSoil_0,1,1,-,Samp,1,0
"CS650(2,1)",VolumetricWaterContent,Gravel,1,2,mm3/mm3,Samp,1,1
"CS650(2,2)",ElectricalConductivity,Gravel,1,2,dS/m,Samp,1,1
"CS650(2,3)",Temperature,Gravel,1,2,oC,Samp,1,1
"CS650(2,4)",Permittivity,Gravel,1,2,-,Samp,1,1
"CS650(2,5)",Period,Gravel,1,2,uSec,Samp,1,1
"CS650(2,6)",VoltageRatio,Gravel,1,2,-,Samp,1,1
"CS650(3,1)",VolumetricWaterContent,TopSoil_30,1,3,mm3/mm3,Samp,1,2
"CS650(3,2)",ElectricalConductivity,TopSoil_30,1,3,dS/m,Samp,1,2
"CS650(3,3)",Temperature,TopSoil_30,1,3,oC,Samp,1,2
"CS650(3,4)",Permittivity,TopSoil_30,1,3,-,Samp,1,2
"CS650(3,5)",Period,TopSoil_30,1,3,uSec,Samp,1,2
"CS650(3,6)",VoltageRatio,TopSoil_30,1,3,-,Samp,1,2
"CS650(4,1)",VolumetricWaterContent,TopSoil_50,1,4,mm3/mm3,Samp,1,3
"CS650(4,2)",ElectricalConductivity,TopSoil_50,1,4,dS/m,Samp,1,3
"CS650(4,3)",Temperature,TopSoil_50,1,4,oC,Samp,1,3
"CS650(4,4)",Permittivity,TopSoil_50,1,4,-,Samp,1,3
"CS650(4,5)",Period,TopSoil_50,1,4,uSec,Samp,1,3
"CS650(4,6)",VoltageRatio,TopSoil_50,1,4,-,Samp,1,3
"CS650(5,1)",VolumetricWaterContent,SubSoil,1,5,mm3/mm3,Samp,1,4
"CS650(5,2)",ElectricalConductivity,SubSoil,1,5,dS/m,Samp,1,4
"CS650(5,3)",Temperature,SubSoil,1,5,oC,Samp,1,4
"CS650(5,4)",Permittivity,SubSoil,1,5,-,Samp,1,4
"CS650(5,5)",Period,SubSoil,1,5,uSec,Samp,1,4
"CS650(5,6)",VoltageRatio,SubSoil,1,5,-,Samp,1,4
"CS650(6,1)",VolumetricWaterContent,TopSoil_50,2,6,mm3/mm3,Samp,1,5
"CS650(6,2)",ElectricalConductivity,TopSoil_50,2,6,dS/m,Samp,1,5
"CS650(6,3)",Temperature,TopSoil_50,2,6,oC,Samp,1,5
"CS650(6,4)",Permittivity,TopSoil_50,2,6,-,Samp,1,5
"CS650(6,5)",Period,TopSoil_50,2,6,uSec,Samp,1,5
"CS650(6,6)",VoltageRatio,TopSoil_50,2,6,-,Samp,1,5
"CS650(7,1)",VolumetricWaterContent,SubSoil,2,7,mm3/mm3,Samp,1,6
"CS650(7,2)",ElectricalConductivity,SubSoil,2,7,dS/m,Samp,1,6
"CS650(7,3)",Temperature,SubSoil,2,7,oC,Samp,1,6
"CS650(7,4)",Permittivity,SubSoil,2,7,-,Samp,1,6
"CS650(7,5)",Period,SubSoil,2,7,uSec,Samp,1,6
"CS650(7,6)",VoltageRatio,SubSoil,2,7,-,Samp,1,6
"CS650(8,1)",VolumetricWaterContent,TopSoil_0,2,8,mm3/mm3,Samp,1,7
"CS650(8,2)",ElectricalConductivity,TopSoil_0,2,8,dS/m,Samp,1,7
"CS650(8,3)",Temperature,TopSoil_0,2,8,oC,Samp,1,7
"CS650(8,4)",Permittivity,TopSoil_0,2,8,-,Samp,1,7
"CS650(8,5)",Period,TopSoil_0,2,8,uSec,Samp,1,7
"CS650(8,6)",VoltageRatio,TopSoil_0,2,8,-,Samp,1,7
"CS650(9,1)",VolumetricWaterContent,Gravel,2,9,mm3/mm3,Samp,1,8
"CS650(9,2)",ElectricalConductivity,Gravel,2,9,dS/m,Samp,1,8
"CS650(9,3)",Temperature,Gravel,2,9,oC,Samp,1,8
"CS650(9,4)",Permittivity,Gravel,2,9,-,Samp,1,8
"CS650(9,5)",Period,Gravel,2,9,uSec,Samp,1,8
"CS650(9,6)",VoltageRatio,Gravel,2,9,-,Samp,1,8
"CS650(10,1)",VolumetricWaterContent,TopSoil_30,2,10,mm3/mm3,Samp,1,9
"CS650(10,2)",ElectricalConductivity,TopSoil_30,2,10,dS/m,Samp,1,9
"CS650(10,3)",Temperature,TopSoil_30,2,10,oC,Samp,1,9
"CS650(10,4)",Permittivity,TopSoil_30,2,10,-,Samp,1,9
"CS650(10,5)",Period,TopSoil_30,2,10,uSec,Samp,1,9
"CS650(10,6)",VoltageRatio,TopSoil_30,2,10,-,Samp,1,9
"CS650(11,1)",VolumetricWaterContent,Gravel,3,11,mm3/mm3,Samp,3,0
"CS650(11,2)",ElectricalConductivity,Gravel,3,11,dS/m,Samp,3,0
"CS650(11,3)",Temperature,Gravel,3,11,oC,Samp,3,0
"CS650(11,4)",Permittivity,Gravel,3,11,-,Samp,3,0
"CS650(11,5)",Period,Gravel,3,11,uSec,Samp,3,0
"CS650(11,6)",VoltageRatio,Gravel,3,11,-,Samp,3,0
"CS650(12,1)",VolumetricWaterContent,TopSoil_50,3,12,mm3/mm3,Samp,3,1
"CS650(12,2)",ElectricalConductivity,TopSoil_50,3,12,dS/m,Samp,3,1
"CS650(12,3)",Temperature,TopSoil_50,3,12,oC,Samp,3,1
"CS650(12,4)",Permittivity,TopSoil_50,3,12,-,Samp,3,1
"CS650(12,5)",Period,TopSoil_50,3,12,uSec,Samp,3,1
"CS650(12,6)",VoltageRatio,TopSoil_50,3,12,-,Samp,3,1
"CS650(13,1)",VolumetricWaterContent,TopSoil_30,3,13,mm3/mm3,Samp,3,2
"CS650(13,2)",ElectricalConductivity,TopSoil_30,3,13,dS/m,Samp,3,2
"CS650(13,3)",Temperature,TopSoil_30,3,13,oC,Samp,3,2
"CS650(13,4)",Permittivity,TopSoil_30,3,13,-,Samp,3,2
"CS650(13,5)",Period,TopSoil_30,3,13,uSec,Samp,3,2
"CS650(13,6)",VoltageRatio,TopSoil_30,3,13,-,Samp,3,2
"CS650(14,1)",VolumetricWaterContent,SubSoil,3,14,mm3/mm3,Samp,3,3
"CS650(14,2)",ElectricalConductivity,SubSoil,3,14,dS/m,Samp,3,3
"CS650(14,3)",Temperature,SubSoil,3,14,oC,Samp,3,3
"CS650(14,4)",Permittivity,SubSoil,3,14,-,Samp,3,3
"CS650(14,5)",Period,SubSoil,3,14,uSec,Samp,3,3
"CS650(14,6)",VoltageRatio,SubSoil,3,14,-,Samp,3,3
"CS650(15,1)",VolumetricWaterContent,TopSoil_0,3,15,mm3/mm3,Samp,3,4
"CS650(15,2)",ElectricalConductivity,TopSoil_0,3,15,dS/m,Samp,3,4
"CS650(15,3)",Temperature,TopSoil_0,3,15,oC,Samp,3,4
"CS650(15,4)",Permittivity,TopSoil_0,3,15,-,Samp,3,4
"CS650(15,5)",Period,TopSoil_0,3,15,uSec,Samp,3,4
"CS650(15,6)",VoltageRatio,TopSoil_0,3,15,-,Samp,3,4
